,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
9297,Draco,9/9 Artifact Creature - Dragon,16,,R,NM,1.29,Mystery Booster/The List," - This spell costs {2} less to cast for each basic land type among lands you control.Flying - At the beginning of your upkeep, sacrifice Draco unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control."
9298,Brainstorm,Instant,1,U,U,NM,1.29,Eternal Masters,"Draw three cards, then put two cards from your hand on top of your library in any order."
9299,Captain of the Watch,3/3 Creature - Human Soldier,6,WW,R,EX,1.03,2013 Core Set,"Vigilance Other Soldier creatures you control get +1/+1 and have vigilance.When Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield."
9300,Evolving Wilds,Land,0,,C,NM,0.25,The Brothers' War,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
9301,Thriving Heath,Land,0,,C,NM,0.25,Adventures in the Forgotten Realms Commander Decks,"Thriving Heath enters the battlefield tapped.As Thriving Heath enters the battlefield, choose a color other than white.{T}: Add {W} or one mana of the chosen color."
9302,Segovian Angel,1/1 Creature - Angel,1,W,C,NM,0.25,Modern Horizons,"Flying, vigilance"
9303,Plea for Power,Sorcery,4,U,R,NM,1.49,Game Night: Free-for-All," -- Starting with you, each player votes for time or knowledge. If time gets more votes, take an extra turn after this one. If knowledge gets more votes or the vote is tied, draw three cards."
9304,Shadow Kin,2/2 Creature - Shapeshifter,4,U,R,NM,1.49,Innistrad: Midnight Hunt Commander Decks,"FlashAt the beginning of your upkeep, each player mills three cards. You may exile a creature card from among the cards milled this way. If you do, Shadow Kin becomes a copy of that card, except it has this ability."
9305,Ox of Agonas,4/2 Creature - Ox,5,RR,M,NM,1.49,Theros Beyond Death,"When Ox of Agonas enters the battlefield, discard your hand, then draw three cards.Escape - {R}{R}, Exile eight other cards from your graveyard. Ox of Agonas escapes with a +1/+1 counter on it."
9306,Demilich,4/3 Creature - Skeleton Wizard,4,UUUU,M,NM,1.49,Adventures in the Forgotten Realms,"This spell costs {U} less to cast for each instant and sorcery spell you've cast this turn.Whenever Demilich attacks, exile up to one target instant or sorcery card from your graveyard. Copy it. You may cast the copy.You may cast Demilich from your graveyard by exiling four instant and/or sorcery cards from your graveyard in addition to paying its other costs."
9307,"Faldorn, Dread Wolf Herald (Extended Art)",3/3 Legendary Creature - Human Druid,3,RG,M,NM,1.49,Commander Legends: Battle for Baldur's Gate Variants,"Whenever you cast a spell from exile or a land enters the battlefield under your control from exile, create a 2/2 green Wolf creature token.{1}, {T}, Discard a card: Exile the top card of your library. You may play it this turn."
9308,Shuko,Artifact - Equipment,1,,U,EX,1.19,Betrayers of Kamigawa,Equipped creature gets +1/+0.Equip {0} 
9309,Abjure,Instant,1,U,C,NM,0.69,Weatherlight,"As an additional cost to cast Abjure, sacrifice a blue permanent.Counter target spell."
9310,Shakedown Heavy,6/4 Creature - Ogre Warrior,3,B,R,NM,0.69,Streets of New Capenna,"MenaceWhenever Shakedown Heavy attacks, defending player may have you draw a card. If they do, untap Shakedown Heavy and remove it from combat."
9311,Wurm Token // Phyrexian Beast Token,5/5 Token Creature - Wurm,0,,S,NM,0.29,Commander Legends: Battle for Baldur's Gate,Phyrexian Beast TokenToken Creature - Phyrexian Beast4/4
9312,Island (259 E - Full Art),Basic Land - Island,0,,L,EX,0.2,Battle for Zendikar,{U}
9313,Darkmoss Bridge,Artifact Land,0,,C,NM,0.25,Modern Horizons 2,Darkmoss Bridge enters the battlefield tapped.Indestructible{T}: Add {B} or {G}.
9314,Cultivate,Sorcery,3,G,C,NM,0.99,Masters 25,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library."
9315,Nylea's Intervention,Sorcery,3,XGG,R,NM,0.99,Theros Beyond Death,Choose one -
9316,Spectacular Showdown (Extended Art),Sorcery,2,R,R,NM,0.99,Commander Legends: Battle for Baldur's Gate Variants,"Put a double strike counter on target creature, then goad each creature that had a double strike counter put on it this way. Overload {4}{R}{R}{R} "
9317,Mishra's Command (Extended Art),Sorcery,2,XR,R,NM,0.99,The Brothers' War Variants,Choose two - 
9318,Urza's Chalice,Artifact,1,,C,EX,0.79,Antiquities,"Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life."
9319,Perennial Behemoth (Extended Art),2/7 Artifact Creature - Beast,5,,R,NM,0.99,The Brothers' War Variants,You may play lands from your graveyard.Unearth {G}{G}
9320,Glass-Cast Heart,Artifact,3,B,R,NM,0.99,Innistrad: Crimson Vow Commander Decks,"Whenever one or more Vampires you control attack, create a Blood token. {B}, {T}, Pay 1 life: Create a 1/1 white and black Vampire creature token with lifelink.{B}{B}, {T}, Sacrifice Glass-Cast Heart and thirteen Blood tokens: Each opponent loses 13 life and you gain 13 life."
9321,Elixir of Immortality,Artifact,1,,U,NM,0.99,2013 Core Set,"{2}, {T}: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into your library."
9322,Slagwoods Bridge,Artifact Land,0,,C,NM,0.25,Modern Horizons 2,Slagwoods Bridge enters the battlefield tapped.Indestructible{T}: Add {R} or {G}.
9323,Ancestral Anger,Sorcery,1,R,C,NM,0.25,Innistrad: Crimson Vow,"Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard.Draw a card."
9324,Apex of Power,Sorcery,10,RRR,M,NM,0.79,Adventures in the Forgotten Realms Commander Decks,"Exile the top seven cards of your library. Until end of turn, you may cast spells from among them.If this spell was cast from your hand, add ten mana of any one color."
9325,Herald of Anguish,5/5 Creature - Demon,7,BB,M,NM,0.79,The Brothers' War Commander Decks,"Improvise FlyingAt the beginning of your end step, each opponent discards a card.{1}{B}, Sacrifice an artifact: Target creature gets -2/-2 until end of turn."
9326,Grand Warlord Radha,3/4 Legendary Creature - Elf Warrior,4,RG,R,NM,0.79,Dominaria,"HasteWhenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end."
9327,Iron Myr,1/1 Artifact Creature - Myr,2,,C,EX,0.63,Mirrodin,{T}: Add {R} to your mana pool.
9328,"Kolaghan, the Storm's Fury",4/5 Legendary Creature - Dragon,5,BR,R,NM,0.79,Fate Reforged,"FlyingWhenever a Dragon you control attacks, creatures you control get +1/+0 until end of turn.Dash {3}{B}{R} "
9329,Sword of Vengeance,Artifact - Equipment,3,,R,NM,0.79,Kamigawa: Neon Dynasty Commander Decks,"Equipped creature gets +2/+0 and has first strike, vigilance, trample, and haste.Equip {3}"
9330,Terminate,Instant,2,BR,U,NM,0.79,Double Masters 2022,Destroy target creature. It can’t be regenerated.
9331,Triumphant Adventurer,1/1 Creature - Human Knight,2,WB,R,NM,0.79,Adventures in the Forgotten Realms,"DeathtouchAs long as it's your turn, Triumphant Adventurer has first strike.Whenever Triumphant Adventurer attacks, venture into the dungeon. "
9332,Swamp (310),Basic Land - Swamp,0,,L,NM,0.25,"Universes Beyond: Warhammer 40,000",
9333,Gabriel Angelfire,4/4 Legendary Creature - Angel,7,WWGG,R,EX,23.79,Legends,"At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Gabriel Angelfire gains that ability until your next upkeep. "
9334,Dragonlord Atarka (Prerelease Foil),8/8 Legendary Creature - Elder Dragon,7,RG,M,EX,23.79,Promotional,"Flying, trampleWhen Dragonlord Atarka enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control."
9335,Ayesha Tanaka,2/2 Legendary Creature - Human Artificer,4,UUWW,R,NM,27.99,Legends,Banding {T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}.
9336,Sword of War and Peace,Artifact - Equipment,3,,M,NM,27.99,Double Masters Box Toppers,"Equipped creature gets +2/+2 and has protection from red and from white.Whenever equipped creature deals combat damage to a player, Sword of War and Peace deals damage to that player equal to the number of cards in their hand and you gain 1 life for each card in your hand.Equip {2}"
9337,Armageddon (Not Tournament Legal),Sorcery,4,W,R,NM,27.99,Collectors Ed,Destroy all lands.
9338,"Azusa, Lost but Seeking (Judge Foil)",1/2 Legendary Creature - Human Monk,3,G,S,NM,27.99,Promotional,You may play two additional lands on each of your turns.
9339,Blood Fountain,Artifact,1,B,C,NM,0.29,Innistrad: Crimson Vow,"When Blood Fountain enters the battlefield, create a Blood token. {3}{B}, {T}, Sacrifice Blood Fountain: Return up to two target creature cards from your graveyard to your hand."
9340,"Icingdeath, Frost Tyrant (Foil)",4/3 Legendary Creature - Dragon,4,WW,M,NM,13.99,Secret Lair,"Flying, vigilanceWhen Icingdeath, Frost Tyrant dies, create Icingdeath, Frost Tongue, a legendary white Equipment artifact token with ""Equipped creature gets +2/+0,"" ""Whenever equipped creature attacks, tap target creature defending player controls,"" and equip {2}."
9341,Dragonlord Dromoka (Foil Etched),5/7 Legendary Creature - Elder Dragon,6,GW,M,NM,13.99,Double Masters 2022 Variants,"Dragonlord Dromoka can't be countered.Flying, lifelinkYour opponent can't cast spells during your turn."
9342,Bloom Tender (Foil Etched),1/1 Creature - Elf Druid,2,G,R,NM,13.99,Double Masters 2022 Variants,"{T}: For each color among permanents you control, add one mana of that color."
9343,Overgrown Tomb (Promo Pack),Land - Swamp Forest,0,,R,NM,13.99,Promo Pack,"As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
9344,Gravecrawler (Buy-a-Box Foil),2/1 Creature - Zombie,1,B,R,EX,11.19,Promotional,Gravecrawler can't block.You may cast Gravecrawler from your graveyard as long as you control a Zombie.
9345,Mad Auntie (Junior Super Series Foil (J08)),2/2 Creature - Goblin Shaman,3,B,S,NM,13.99,Promotional,Other Goblin creatures you control get +1/+1.{T}: Regenerate another target Goblin.
9346,Birds of Paradise,0/1 Creature - Bird,1,G,R,NM,13.99,10th Edition,Flying{T}: Add one mana of any color.
9347,"Grist, the Hunger Tide (Prerelease Foil)",,0,,M,NM,13.99,Promotional,
9348,Diabolic Intent (Prerelease Foil),Sorcery,2,B,R,NM,13.99,Promotional,"As an additional cost to cast this spell, sacrifice a creature.Search your library for a card and put that card into your hand. Then shuffle your library."
9349,Invisibility, Enchantment - Aura,2,UU,C,G,5.6,Beta,Enchant creatureEnchanted creature can't be blocked except by Walls.
9350,Primal Amulet (Buy-a-Box Foil),Artifact,4,,R,NM,13.99,Promotional,"Instant and sorcery spells you cast cost {1} less to cast.Whenever you cast an instant or sorcery spell, put a charge counter on Primal Amulet. Then if there are four or more charge counters on it, you may remove those counters and transform it.---Transform----Primal Wellspring{T}: Add one mana of any color to your mana pool. When that mana is spent to cast an instant or sorcery spell, copy that spell and you may choose new targets for the copy."
9351,Spire of Industry (Prerelease Foil),Land,0,,R,EX,11.19,Promotional,"{T}: Add {C} to your mana pool.{T}, Pay 1 Life: Add one mana of any color to your mana pool. Activate this ability only if you control an artifact."
9352,"Ral, Izzet Viceroy",Legendary Planeswalker - Ral,5,UR,M,NM,13.99,Masterpiece Series: Mythic Edition,"[+1]: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.[-3]: Ral, Izzet Viceroy deals damage to target creature equal to the total number of instant and sorcery cards your own in exile and in your graveyard.[-8]: You get an emblem with ""Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.""|5|"
9353,Saheeli Rai (Prerelease Foil),Legendary Planeswalker - Saheeli,3,UR,M,NM,13.99,Promotional,"[+1]: Scry 1. Saheeli Rai deals 1 damage to each opponent.[-2]: Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. That token gains haste. Exile it at the beginning of the next end step.[-7]: Search your library for up to three artifact cards with different names, put them onto the battlefield, then shuffle your library. [3]"
9354,Remand (FNM Foil),Instant,2,U,S,EX,11.19,Promotional,"Counter target spell. If that spell is countered this way, put it into its owner's hand instead of into that player's graveyard.Draw a card."
9355,Ulvenwald Hydra (Prerelease Foil),*/* Creature - Hydra,6,GG,M,EX,11.19,Promotional,"ReachUlvenwald Hydra's power and toughness are each equal to the number of lands you control.When Ulvenwald Hydra enters the battlefield, you may search your library for a land card, put it onto the battlefield tapped, then shuffle your library."
9356,Brightclimb Pathway (Foil),Land,0,,R,NM,7.99,Secret Lair,{T}: Add {W}.Grimclimb PathwayLand{T}: Add {B}.
9357,Gemstone Mine (Borderless),Land,0,,R,NM,7.99,Dominaria Remastered Variants,"When Gemstone Mine comes into play, put three mining counters on it.{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color. If there are no mining counters on Gemstone Mine, sacrifice it."
9358,Temur Sabertooth (Foil Etched),4/3 Creature - Cat,4,GG,R,NM,7.99,Secret Lair,"{1}{G}: You may return another creature you control to its owner's hand. If you do, Temur Sabertooth gains indestructible until end of turn."
9359,Branchloft Pathway (Prerelease Foil),Land,0,,R,NM,7.99,Promotional,{T}: Add {G}.Boulderloft PathwayLand{T}: Add {W}.
9360,Clue Token (Foil),Token Artifact - Clue,0,,S,NM,7.99,Secret Lair,"{2}, Sacrifice this artifact: Draw a card."
9361,"Kytheon, Hero of Akros",2/1 Legendary Planeswalker - Gideon,1,W,M,NM,7.99,From the Vault: Transform,"At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.{2}{W}: Kytheon gains indestructible until end of turn.----------Gideon, Battle-Forged[+2]: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn.[+1]: Until your next turn, target creature gains indestructible. Untap that creature.[0]: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.|3|"
9362,Wrath of God (Non-Foil - Shrinking Storm),Sorcery,4,WW,R,NM,7.99,Secret Lair,Destroy all creatures. They can't be regenerated.
